'Update Stock' cannot be checked for fixed asset sale,"""Actualización de Existencia' no puede ser escogida para venta de activo fijo",
Bill,Factura,
Bill of Materials,Lista de Materiales,
Opening Accounting Balance,Apertura de Saldos Contables,
Tax ID,RUC,
Tax Rate,Tasa de Impuesto,
Tax Rule Conflicts with {0},Regla Fiscal en conflicto con {0},
Tax Id,RUC,
Account for Change Amount,Cuenta para el Cambio de Monto,
Billing Hours,Horas de Facturación,
Tax Rule,Regla Fiscal,
Billing County,Municipio de Facturación,
Billing State,Región de Facturación,
Billed Amt,Monto Facturado,
Basic Rate (Company Currency),Taza Base (Divisa de la Empresa),
Billing Rate,Monto de Facturación,
Material Receipt,Recepcion de Materiales,
Billing Details,Detalles de Facturación,
The following serial numbers were created: <br><br> {0},Se crearon los siguientes números de serie: <br><br> {0},
Material Issue, Expedicion de Material,
Material Transfer, Transferencia de Material,
Prospect, Prospectos,
